english,icelandic,alternatives,category,notes,definition_en,definition_is
supercritical mass,,,other,,amount of material in which there is an increasing rate of fission,
superoxide,,,other,,oxide containing the anion O2−,
supersaturated,,,other,,of concentration that exceeds solubility; a nonequilibrium state,
suspension,,,other,,heterogeneous mixture in which relatively large component particles are temporarily dispersed but settle out over time,
tetrahedral hole,,,other,,tetrahedral space formed by four atoms or ions in a crystal,
third law of thermodynamics,,,other,,entropy of a perfect crystal at absolute zero (0 K) is zero,
third transition series,,,other,,"transition elements in the sixth period of the periodic table (third row of the d-block), atomic numbers 57 and 72–79",
torr,,,other,,unit of pressure; 1 torr=1760atm,
transmutation reaction,,,other,,bombardment of one type of nuclei with other nuclei or neutrons,
transuranium element,,,other,,element with an atomic number greater than 92; these elements do not occur in nature,
trigonal bipyramidal,,,other,,"shape in which five outside groups are placed around a central atom such that three form a flat triangle with 120° angles between each pair and the central atom, and the other two form the apex of two pyramids, one above and one below the triangular plane",
triprotic acid,,,other,,acid that contains three ionizable hydrogen atoms per molecule,
vacancy,,,other,,defect that occurs when a position that should contain an atom or ion is vacant,
valence bond theory,,,other,,"description of bonding that involves atomic orbitals overlapping to form σ or π bonds, within which pairs of electrons are shared",
valence electrons,,,other,,electrons in the high energy outer shell(s) of an atom,
valence shell,,,other,,high energy outer shell(s) of an atom,
valence shell electron-pair repulsion theory (VSEPR),,,other,,theory used to predict the bond angles in a molecule based on positioning regions of high electron density as far apart as possible to minimize electrostatic repulsion,
van der Waals force,,,other,,"attractive or repulsive force between molecules, including dipole-dipole, dipole-induced dipole, and London dispersion forces; does not include forces due to covalent or ionic bonding, or the attraction between ions and molecules",
vaporization,,,other,,change from liquid state to gaseous state,
vector,,,other,,quantity having magnitude and direction,
wave,,,other,,oscillation of a property over time or space; can transport energy from one point to another,
wave-particle duality,,,other,,observation that elementary particles can exhibit both wave-like and particle-like properties,
weak electrolyte,,,other,,substance that ionizes only partially when dissolved in water,
weak-field ligand,,,other,,ligand that causes small crystal field splittings,
π bonding orbital,,,other,,"molecular orbital formed by side-by-side overlap of atomic orbitals, in which the electron density is found on opposite sides of the internuclear axis",
π* bonding orbital,,,other,,"antibonding molecular orbital formed by out of phase side-by-side overlap of atomic orbitals, in which the electron density is found on both sides of the internuclear axis, and there is a node between the nuclei",
σ bonding orbital,,,other,,molecular orbital in which the electron density is found along the axis of the bond,
σ* bonding orbital,,,other,,"antibonding molecular orbital formed by out-of-phase overlap of atomic orbital along the axis of the bond, generating a node between the nuclei",
